,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
2946,Tributes to Lucy Freeman Sandler,studies in illuminated manuscripts,"[['Sandler, Lucy Freeman'], ['Smith, Kathryn A. (Kathryn Ann)'], ['Krinsky, Carol Herselle']]",2007,English,"['bibliography', 'festschrift', 'Festschriften']",text,2007
2947,With the light,raising an autistic child,"[['Tobe, Keiko'], ['Eckerman, Alexis'], ['Yamashita, Satsuki'], ['戶部けいこ.']]",9999,English,"['text', 'still image', 'Graphic novels', 'Graphic Novel', 'Fictional Work', 'graphic novels.', 'manga (comic books)', 'Comics (Graphic works)', 'Graphic novels', 'Comic books, strips, etc.', 'Manga', 'Graphic medicine (Comics)', 'Graphic novels', 'Slice-of-life comics', 'Domestic comics', 'Romans graphiques.', 'Romans.', 'Mangas.', 'Bandes dessinées médicales.', 'Tranches de vie (Bandes dessinées)', 'Bandes dessinées familiales.']",text,2007
2948,"43, according to Robin Price ",with annotated bibliography,"[['Price, Robin (Glenna Robin)'], ['Kelm, Daniel E.'], ['Thompson, Anne,'], ['Lee, Kylin'], ['Robin Price (Publisher)'], ['Wide Awake Garage'], ['Cartiere Fedrigoni & C.'], ['Dale Guild Type Foundry'], ['Boxcar Press']]",2007,English,"['bibliography', 'text', 'cartographic image', ""artists' books (books)"", 'laser prints.', 'Letterpress printing.', 'keys (texts)', 'graph paper.', 'Hand composition.', 'appropriation (imagery)', 'citations.', 'accordion books.', 'quotations (texts)', 'topographic maps.', ""Artists' books"", 'Specimens', ""Artists' books"", 'Accordion fold books', 'Quotations', 'Topographic maps', 'Accordion fold format (Binding).', ""Artists' books-Connecticut-Middletown-21st century."", 'Clamshell boxes.', 'Handmade papers.', 'Printed paper binding labels.', 'Printing in multiple colors (Printing).', 'Limitation statements (Publishing)', ""Livres d'artistes."", 'Leporellos.', 'Citations.', 'Cartes topographiques.']",text,2008
2949,Køtøbå nø pårty,NaN,"[['Maryatt, Kitty.'], ['Iliazd'], ['Scripps College'], ['Scripps College'], ['Wookey Hole Mill']]",,English,"['Dadaist poetry.', 'American poetry-21st century.', ""Artists' books-California-Claremont-2007."", 'Linocuts-California-Claremont-2007.', 'Pochoir prints-California-Claremont-2007.', ""Artists' books-California."", 'Linocuts-United States-21st century.', 'Pochoir-United States-21st century.', 'Student works-California-Claremont-2007.', 'Linocuts-California-21st century.']",text,2007
2950,Due considerations,,"[['Updike, John'], ['Updike, John']]",,English,"['bibliography', 'Criticism, interpretation, etc.']",text,2007
2951,Pulpy & Midge,a novel,"Westhead, Jessica",2007,English,"['novel', 'Fiction', 'Fiction.']",text,2007
2952,All about H. Hatterr,,"[['Desani, G. V. (Govindas Vishnoodas)'], ['Burgess, Anthony']]",2007,English,"['Humorous stories.', 'novels.', 'Humorous fiction', 'Fiction', 'Biographical fiction', 'Fiction', 'Humorous fiction', 'Novels', 'Romans.']",text,2007
2953,early Christian book,NaN,"[['Klingshirn, William E.'], ['Safran, Linda'], ['Catholic University of America']]",2007,English,"['bibliography', 'Criticism, interpretation, etc.']",text,2006
2954,Color grids,,"LeWitt, Sol",1977,English,"['text', ""artists' books (books)"", ""Artists' books"", ""Artists' books"", ""Livres d'artistes.""]",text,1979
2955,Inscription and erasure,literature and written culture from the eleventh to the eighteenth century,"Chartier, Roger",2007,English,"['bibliography', 'text', 'History', 'Annotations.']",text,2006
2956,Edinburgh history of the book in Scotland,,"[['Bell, Bill.'], ['Finkelstein, David'], ['McCleery, Alistair.'], ['Bell, Bill']]",2007,English,"['bibliography', 'History']",text,2008
2957,Essential guide to Spanish reading,,"[['Agusti, Lluis'], ['Lamadrid, Eduardo de.'], ['San Juan, Alina.'], ['America Reads Spanish (Organization)'], ['ICEX (Organization : Spain)'], ['Federación de Gremios de Editores de España']]",2007,English,"['bibliography', 'text', 'Bibliography', 'bibliographies.', 'Bibliographies', 'Lists', 'Bibliographies.', 'Bibliographies.']",text,2007
2958,complete Persepolis ,NaN,"Satrapi, Marjane,",[©2007],English,"['text', 'Autobiographical comic books, strips, etc.', 'Graphic novels', 'Comic.', 'Graphic novels.', 'Comic.', 'Graphic novels', 'Autobiographical comics', 'Graphic novels.', 'Autobiographical comics', 'Comics (Graphic works)', 'Graphic novels', 'History']",text,2007
2959,invisible sex,,"[['Adovasio, J. M.'], ['Soffer, Olga.'], ['Page, Jake']]",,English,"['bibliography', 'History']",text,2006
2960,Flaw,NaN,"[['Tulli, Magdalena.'], ['Johnston, Bill']]",2007,English,"['Fiction', 'Fiction.']",text,2007
2961,Fun home ,a family tragicomic ,"Bechdel, Alison,",2007,English,"['biography', 'text', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Graphic Novel', 'Autobiography', 'Comics (Graphic works)', 'Graphic novels.', 'Autobiographical comics']",text,2007
2962,book of felicity,NaN,"[['Muḥammad ibn Amīr Ḥasan al-Suʻūdī'], ['Abū Maʻshar'], ['Jaʻfar al-Ṣādiq'], ['Nakkaş Osman'], ['Moleiro, Manuel'], ['Bibliothèque nationale de France'], ['محمد بن امير حسن السعودي،'], ['جعفر الصادق،']]",2007,"Turkish, Ottoman (1500-1928)","['bibliography', 'text', 'illuminated manuscripts.', 'facsimiles (reproductions)', 'Early works.', 'Facsimiles', 'Miniatures (Illuminations)-16th century.', 'Facsimiles', 'Fac-similés.']",text,2008
2963,Stray Dog cabaret,,"[['Schmidt, Paul'], ['Ciepiela, Catherine'], ['Moore, Honor'], ['Schmidt, Paul'], ['Brodi︠a︡chai︠a︡ sobaka (Cabaret : Saint Petersburg, Russia)']]",2007,English,"['bibliography', 'Translations']",text,2006
2964,alternative comprehensive spending review 2007,,"[['Talbot, Colin.'], ['Baker, Matt']]",,English,bibliography,text,2007
2965,Picturing piety,the book of hours,"[['Wieck, Roger S.'], ['Hindman, Sandra'], ['Bergeron-Foote, Ariane'], ['Wieck, Roger S.'], ['Enluminures (Firm)']]",,English,"['bibliography', 'Exhibition catalogs']",text,2007
2966,complete Terry and the pirates,NaN,"Caniff, Milton Arthur",9999,English,"['Comics (Graphic works)', 'Graphic novels', 'Comic books, strips, etc.', 'Comics (Graphic works)-United States.', 'Comics (Graphic works)', 'Comics (Graphic works)']",text,2007
2967,History of Venice,NaN,"[['Bembo, Pietro'], ['Ulery, Robert W.']]",2009,English,"['bibliography', 'History']",text,2007
2968,Stigmata errata etcetera,,"[['Knott, Bill'], ['Black, Star'], ['Doty, Mark'], ['Black, Star'], ['Saturnalia Books']]",,English,Poetry,text,2006
2969,Decorated book papers,,"[['Loring, Rosamond B. (Rosamond Bowditch)'], ['Mayo, Hope']]",,English,"['bibliography', 'text', 'History']",text,2007
2970,Books on the move,,"[['Myers, Robin.'], ['Harris, Michael'], ['Mandelbrote, Giles.'], ['Myers, Robin']]",,English,"['bibliography', 'conference publication', 'Conference papers and proceedings', 'History']",text,2007
2971,Yoshida Shigeru,,"[['Yoshida, Shigeru'], ['Nara, Hiroshi'], [""Yoshida, Ken'ichi""]]",2007,English,"['biography', 'Biographies', 'Biographies']",text,2006
2972,Best books for young adults,,"[['Koelling, Holly.'], ['Young Adult Library Services Association']]",,English,"['bibliography', 'Reference works', 'Bibliographies', 'Reference works', 'Ouvrages de référence.']",text,2007
2973,Twenty miles,,"Hedley, Cara.",2007,English,"['Fiction', 'Fiction.']",text,2007
2974,Copyright,,"[['Yoo, Christopher S.'], ['Yoo, Christopher S.'], ['Edward Elgar Publishing']]",,English,NaN,text,2015
2975,Native Seattle,histories from the crossing-over place,"[['Thrush, Coll-Peter'], ['Cronon, William']]",2007,English,"['bibliography', 'text', 'History']",text,2006
